sector,quarter,div_lm_score,div_finbert_score,div_gpt_score_norm
IT,2023Q4,0.04489560624184308,0.2823040615584597,0.22962458625569304
IT,2024Q1,0.030392106344812733,0.2687173198266097,0.26781103585857496
IT,2024Q2,0.04905915585652881,0.28466266579091976,0.2497670200471223
IT,2024Q3,0.03987717217423019,0.3041101558220567,0.2607784302619607
Industrials,2023Q4,0.056351770847344565,0.3009707775386199,0.2697445990225782
Industrials,2024Q1,0.05574185775025895,0.31841027147203577,0.25283832792205296
Industrials,2024Q2,0.0593518197208923,0.3408959052112057,0.26833495282693465
Industrials,2024Q3,0.06536803912694264,0.30384210126892874,0.22947077879481365
Removal,2023Q4,0.0011269232788220136,0.4328359567018963,0.2990286085222794
Removal,2024Q1,0.07782280938357868,0.3488211135341058,0.32603692630147785
Removal,2024Q2,0.07566339205058718,0.1432722393969119,0.076072840203275
Removal,2024Q3,0.20977011494252873,0.1562709883705623,0.4520577634911358
